Will train the discriminator...
Alpha: 1e-06
Beta: 0.05
Momentum: 0.9
Epochs: 25
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1251
Epoch 1251, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:54.54
Epoch 1252, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.52
Epoch 1253, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.42
Epoch 1254, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:50.37
Epoch 1255, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.90
Epoch 1256, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:47.80
Epoch 1257, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.67
Epoch 1258, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.17
Epoch 1259, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.45
Epoch 1260, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.48
Epoch 1261, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:49.26
Epoch 1262, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.31
Epoch 1263, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:48.14
Epoch 1264, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.93
Epoch 1265, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.06
Epoch 1266, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.23
Epoch 1267, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:47.19
Epoch 1268, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:49.51
Epoch 1269, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.44
Epoch 1270, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:47.38
Epoch 1271, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.52
Epoch 1272, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:45.62
Epoch 1273, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:46.49
Epoch 1274, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:47.81
Epoch 1275, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:47.90

Training time: 0:19:39.24
