Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 25
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1276
Epoch 1276, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:31.97
Epoch 1277, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.11
Epoch 1278, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.91
Epoch 1279, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.61
Epoch 1280, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:28.14
Epoch 1281, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.25
Epoch 1282, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.10
Epoch 1283, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.98
Epoch 1284, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.76
Epoch 1285, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.93
Epoch 1286, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.68
Epoch 1287, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.97
Epoch 1288, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.91
Epoch 1289, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.13
Epoch 1290, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.71
Epoch 1291, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.88
Epoch 1292, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.81
Epoch 1293, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:30.69
Epoch 1294, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.83
Epoch 1295, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.51
Epoch 1296, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.88
Epoch 1297, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.55
Epoch 1298, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.79
Epoch 1299, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.49
Epoch 1300, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.89

Training time: 0:10:16.65
