Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 80
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Starting Epoch: 621
Epoch 621, gen loss = 0.6043618321418762, dis loss = 1.146073341369629, 0:00:56.40
Epoch 622, gen loss = 0.692097008228302, dis loss = 1.008315086364746, 0:00:46.60
Epoch 623, gen loss = 0.692672848701477, dis loss = 1.007406234741211, 0:00:46.69
Epoch 624, gen loss = 0.692837655544281, dis loss = 1.0070722103118896, 0:00:48.36
Epoch 625, gen loss = 0.6928059458732605, dis loss = 1.007019281387329, 0:00:48.09
Epoch 626, gen loss = 0.6930604577064514, dis loss = 1.0067030191421509, 0:00:50.22
Epoch 627, gen loss = 0.6930380463600159, dis loss = 1.0066465139389038, 0:00:49.10
Epoch 628, gen loss = 0.6930131316184998, dis loss = 1.0066521167755127, 0:00:47.52
Epoch 629, gen loss = 0.6930772066116333, dis loss = 1.006571888923645, 0:00:46.86
Epoch 630, gen loss = 0.6930960416793823, dis loss = 1.0065232515335083, 0:00:47.50
Epoch 631, gen loss = 0.6930922865867615, dis loss = 1.0065172910690308, 0:00:48.95
Epoch 632, gen loss = 0.6930964589118958, dis loss = 1.0065033435821533, 0:00:47.83
Epoch 633, gen loss = 0.6931215524673462, dis loss = 1.0064713954925537, 0:00:51.75
Epoch 634, gen loss = 0.6930376291275024, dis loss = 1.0065762996673584, 0:00:46.74
Epoch 635, gen loss = 0.6931392550468445, dis loss = 1.0064489841461182, 0:00:46.46
Epoch 636, gen loss = 0.6931354403495789, dis loss = 1.0064408779144287, 0:00:46.90
Epoch 637, gen loss = 0.6931341886520386, dis loss = 1.0064362287521362, 0:00:50.16
Epoch 638, gen loss = 0.6931366920471191, dis loss = 1.0064321756362915, 0:00:48.10
Epoch 639, gen loss = 0.6931408047676086, dis loss = 1.0064246654510498, 0:00:49.20
Epoch 640, gen loss = 0.6931395530700684, dis loss = 1.0064233541488647, 0:00:51.99
Epoch 641, gen loss = 0.6931400299072266, dis loss = 1.0064221620559692, 0:00:49.06
Epoch 642, gen loss = 0.6931397318840027, dis loss = 1.006420612335205, 0:00:48.03
Epoch 643, gen loss = 0.6931386590003967, dis loss = 1.0064228773117065, 0:00:48.97
Epoch 644, gen loss = 0.693141758441925, dis loss = 1.0064185857772827, 0:00:47.73
Epoch 645, gen loss = 0.6931386590003967, dis loss = 1.0064228773117065, 0:00:48.16
Epoch 646, gen loss = 0.6931429505348206, dis loss = 1.006415605545044, 0:00:52.27
Epoch 647, gen loss = 0.6931436061859131, dis loss = 1.0064146518707275, 0:00:48.02
Epoch 648, gen loss = 0.6931442618370056, dis loss = 1.0064129829406738, 0:00:47.95
Epoch 649, gen loss = 0.6931444406509399, dis loss = 1.006412386894226, 0:00:49.38
Epoch 650, gen loss = 0.6931437849998474, dis loss = 1.0064129829406738, 0:00:47.81
Epoch 651, gen loss = 0.6931442618370056, dis loss = 1.0064120292663574, 0:00:48.57
Epoch 652, gen loss = 0.6931423544883728, dis loss = 1.006414532661438, 0:00:47.28
Epoch 653, gen loss = 0.693145215511322, dis loss = 1.0064111948013306, 0:00:52.36
Epoch 654, gen loss = 0.6931455135345459, dis loss = 1.0064101219177246, 0:00:47.17
Epoch 655, gen loss = 0.6931453347206116, dis loss = 1.0064101219177246, 0:00:47.95
Epoch 656, gen loss = 0.6931456327438354, dis loss = 1.006409764289856, 0:00:49.71
Epoch 657, gen loss = 0.6931456923484802, dis loss = 1.0064096450805664, 0:00:48.80
Epoch 658, gen loss = 0.693145751953125, dis loss = 1.0064091682434082, 0:00:48.09
Epoch 659, gen loss = 0.6931458115577698, dis loss = 1.0064091682434082, 0:00:51.79
Epoch 660, gen loss = 0.6931456923484802, dis loss = 1.0064094066619873, 0:00:47.92
Epoch 661, gen loss = 0.6931454539299011, dis loss = 1.0064094066619873, 0:00:48.06
Epoch 662, gen loss = 0.6931458711624146, dis loss = 1.0064090490341187, 0:00:49.25
Epoch 663, gen loss = 0.6931458115577698, dis loss = 1.0064091682434082, 0:00:47.49
Epoch 664, gen loss = 0.6931458711624146, dis loss = 1.006408929824829, 0:00:48.50
Epoch 665, gen loss = 0.693145751953125, dis loss = 1.0064091682434082, 0:00:47.92
Epoch 666, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:49.58
Epoch 667, gen loss = 0.693145751953125, dis loss = 1.0064090490341187, 0:00:47.83
Epoch 668, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:49.59
Epoch 669, gen loss = 0.6931458115577698, dis loss = 1.0064088106155396, 0:00:47.63
Epoch 670, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:46.74
Epoch 671, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.08
Epoch 672, gen loss = 0.6931458115577698, dis loss = 1.006408929824829, 0:00:50.40
Epoch 673, gen loss = 0.6931458115577698, dis loss = 1.006408929824829, 0:00:49.47
Epoch 674, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:46.85
Epoch 675, gen loss = 0.6931458711624146, dis loss = 1.0064088106155396, 0:00:48.69
Epoch 676, gen loss = 0.6931458711624146, dis loss = 1.0064088106155396, 0:00:47.38
Epoch 677, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:46.76
Epoch 678, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.18
Epoch 679, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:52.07
Epoch 680, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.54
Epoch 681, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:49.04
Epoch 682, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:46.50
Epoch 683, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.68
Epoch 684, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.06
Epoch 685, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.14
Epoch 686, gen loss = 0.6931458711624146, dis loss = 1.006408929824829, 0:00:51.36
Epoch 687, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.01
Epoch 688, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.92
Epoch 689, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:47.09
Epoch 690, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:46.98
Epoch 691, gen loss = 0.6931458711624146, dis loss = 1.0064088106155396, 0:00:46.81
Epoch 692, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:48.27
Epoch 693, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:48.37
Epoch 694, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:00:48.47
